id,material_nr,Brand,material_desc,Currency,price
221,2BL18530,kyocera,KYOCERA HOLDER SCRAPER,usd,4.8
222,2BL18560,kyocera,KYOCERA SPONGE LOWER SEAL,usd,2.4
223,2BL18620,kyocera,KYOCERA SCRAPER CL ROLLER A,usd,7.2
224,2BL18630,kyocera,KYOCERA BUSHING DRUM A,usd,9.6
225,2BL18650,kyocera,KYOCERA ARM CL ROLLER A,usd,26.4
226,2BL18720,kyocera,KYOCERA TAPE CLEANING LAMP,usd,1.2
227,2BL18730,kyocera,KYOCERA SPACER BLADE,usd,1.2
228,2BL18780,kyocera,KYOCERA ARM CL ROLLER B,usd,25.2
229,2BL18800,kyocera,KYOCERA JOINT DRUM A,usd,4.8
230,2BL18860,kyocera,KYOCERA GROUND PLATE DRUM B,usd,3.6
231,2BL18880,kyocera,KYOCERA GEAR CL ROLLER 16,usd,8.4
232,2BL20080,kyocera,KYOCERA CLAW HEAT ROLLER,usd,6.0
233,2BL20100,kyocera,KYOCERA REAR GUIDE FIXING,usd,43.2
234,2BL20200,kyocera,KYOCERA STOPPER HEAT ROLLER,usd,2.4
235,2BL20210,kyocera,KYOCERA MOUNT THERMISTOR,usd,2.4
236,2BL20260,kyocera,KYOCERA GEAR FIXING Z33,usd,27.6
237,2BL20300,kyocera,KYOCERA UPPER COVER FRAME,usd,1.2
238,2BL20330,kyocera,KYOCERA STATIC ELIMINATOR PRESS,usd,39.6
239,2BL20390,kyocera,KYOCERA BUSHING HEAT ROLLER,usd,9.6
240,2BL21010,kyocera,KYOCERA FRAME EXIT,usd,62.4
241,2BL21040,kyocera,KYOCERA FRAME EXIT UP,usd,54.0
242,2BL21070,kyocera,KYOCERA SPRING EXIT PULLEY,usd,1.2
243,2BL21100,kyocera,KYOCERA LEVER GUIDE CHANGE,usd,2.4
244,2BL21120,kyocera,KYOCERA ACTUATOR EXIT R,usd,2.4
245,2BL21130,kyocera,KYOCERA ACTUATOR EXIT L,usd,2.4
246,2BL21170,kyocera,KYOCERA PLATE EARTH EXIT F,usd,6.0
247,2BL21180,kyocera,KYOCERA PLATE EARTH EXIT R,usd,2.4
248,2BL21190,kyocera,KYOCERA BKT SOLENOID,usd,2.4
249,2BL21211,kyocera,KYOCERA PULLEY ONEWAY T30,usd,30.0
250,2BL21230,kyocera,KYOCERA PULLEY EXIT T30,usd,2.4
251,2BL21240,kyocera,KYOCERA BELT EXIT P2M212,usd,6.0
252,2BL21250,kyocera,KYOCERA SPRING ACTUATOR R,usd,2.4
253,2BL21260,kyocera,KYOCERA SPRING ACTUATOR L,usd,2.4
254,2BL21270,kyocera,KYOCERA SPRING FEED SHIFT,usd,2.4
255,2BL21290,kyocera,KYOCERA GUIDE EXIT L,usd,48.0
256,2BL21320,kyocera,KYOCERA GUIDE LEFT COVER M,usd,78.0
257,2BL21330,kyocera,KYOCERA PULLEY FEED SHIFT,usd,2.4
258,2BL21340,kyocera,KYOCERA SPRING CHANGE PULLEY,usd,1.2
259,2BL21350,kyocera,KYOCERA GUIDE DU FEED R,usd,10.8
260,2BL21370,kyocera,KYOCERA LEVER GUIDE CHANGE B,usd,2.4
261,2BL21390,kyocera,KYOCERA GEAR EXIT JOINT Z26S,usd,2.4
262,2BL21400,kyocera,KYOCERA SPRING EXIT JOINT,usd,2.4
263,2BL21410,kyocera,KYOCERA GUIDE FEED SHIFT L,usd,12.0
264,2BL21430,kyocera,KYOCERA GEAR EXIT Z20,usd,2.4
265,2BL21440,kyocera,KYOCERA SPRING EXIT CHANGE,usd,1.2
266,2BL21450,kyocera,KYOCERA PULLEY EXIT B,usd,2.4
267,2BL21460,kyocera,KYOCERA FILM WIRE PROTECT,usd,3.6
268,2BL21470,kyocera,KYOCERA PLATE EARTH CHANGE,usd,2.4
269,2BL21480,kyocera,KYOCERA SPRING EXIT FULL,usd,1.2
270,2BL21490,kyocera,KYOCERA GUIDE FILM DU,usd,1.2
271,2BL21500,kyocera,KYOCERA FILM WIRE PROTECT B,usd,1.2
272,2BL21510,kyocera,KYOCERA CUT WASHER 6,usd,1.2
273,2BL21520,kyocera,KYOCERA PULLEY EXIT C,usd,6.0
274,2BL22050,kyocera,KYOCERA GEAR DRUM Z70H,usd,9.6
275,2BL22140,kyocera,KYOCERA GUIDE DLP,usd,1.2
276,2BL22150,kyocera,KYOCERA BRACKET CLUTCH,usd,6.0
277,2BL22160,kyocera,KYOCERA GEAR DRUM Z76H-Z30H,usd,32.4
278,2BL22170,kyocera,KYOCERA PLATE GUIDE DRUM,usd,6.0
279,2BL22180,kyocera,KYOCERA GEAR Z37H-Z28H,usd,8.4
280,2BL22190,kyocera,KYOCERA GEAR Z50H,usd,6.0
281,2BL22210,kyocera,KYOCERA GEAR JOINT Z32S,usd,4.8
282,2BL22220,kyocera,KYOCERA GEAR Z36S-Z31H,usd,6.0
283,2BL22230,kyocera,KYOCERA GEAR Z34H,usd,2.4
284,2BL22240,kyocera,KYOCERA SPRING JOINT FUSER,usd,1.2
285,2BL22320,kyocera,KYOCERA GEAR Z76H-Z35S,usd,2.4
286,2BL22330,kyocera,KYOCERA GEAR Z41S-Z24S-P30,usd,1.2
287,2BL22350,kyocera,KYOCERA BELT DRIVE FEED,usd,2.4
288,2BL22380,kyocera,KYOCERA PLATE DRIVE MPF B,usd,3.6
289,2BL22400,kyocera,KYOCERA BELT DRIVE MPF,usd,2.4
290,2BL22420,kyocera,KYOCERA GEAR Z41S P18,usd,2.4
291,2BL22480,kyocera,KYOCERA GEAR Z24S-P40,usd,2.4
292,2BL22490,kyocera,KYOCERA GEAR Z40S-Z25S,usd,6.0
293,2BL22510,kyocera,KYOCERA SPRING DRIVE CONT.,usd,1.2
294,2BL22520,kyocera,KYOCERA CLUTCH CONTAINER,usd,32.4
295,2BL22540,kyocera,KYOCERA GEAR Z60S-P20,usd,2.4
296,2BL22550,kyocera,KYOCERA GEAR Z40S-Z32S,usd,2.4
297,2BL22560,kyocera,KYOCERA PULLEY CONT DRIVE,usd,2.4
298,2BL22570,kyocera,KYOCERA BUSH DRIVE CONT 8,usd,2.4
299,2BL22580,kyocera,KYOCERA COLLAR BELT,usd,7.2
300,2BL22590,kyocera,KYOCERA BELT DRIVE CONTAINER,usd,7.2
301,2BL22630,kyocera,KYOCERA GEAR EXIT Z30S,usd,4.8
302,2BL22800,kyocera,KYOCERA GEAR Z47S-Z28S,usd,2.4
303,2BL22820,kyocera,KYOCERA SPRING PULLEY,usd,2.4
304,2BL22830,kyocera,KYOCERA PULLEY TENSION,usd,2.4
305,2BL22840,kyocera,KYOCERA SHAFT DRIVE DRUM FW,usd,33.6
306,2BL22850,kyocera,KYOCERA RETAINER FLYWHEEL,usd,43.2
307,2BL22860,kyocera,KYOCERA FLYWHEEL 190,usd,39.6
308,2BL22870,kyocera,KYOCERA WEIGHT 190,usd,39.6
309,2BL22880,kyocera,KYOCERA FILM BKT CLUTCH,usd,1.2
310,2BL23040,kyocera,KYOCERA LID DLP DUCT,usd,37.2
311,2BL23090,kyocera,KYOCERA FILTER DUST SHIELD,usd,4.8
312,2BL23120,kyocera,KYOCERA COVER DUCT DRUM,usd,3.6
313,2BL23160,kyocera,KYOCERA FILTER DUST SHIELD B,usd,2.4
314,2BL26070,kyocera,KYOCERA SPRING TERMINAL,usd,1.2
315,2BL26080,kyocera,KYOCERA GROUND PLATE HV,usd,2.4
316,2BL26110,kyocera,KYOCERA LEFT MOUNT I/L,usd,4.8
317,2BL26120,kyocera,KYOCERA LEFT WORK PLATE I/L,usd,6.0
318,2BL26160,kyocera,KYOCERA PLATE TRANSFER A,usd,6.0
319,2BL26170,kyocera,KYOCERA PLATE SEPARATION A,usd,6.0
320,2BL26200,kyocera,KYOCERA MOUNT DRUM DRAWER,usd,3.6
321,2BL26270,kyocera,KYOCERA SPRING TERMINAL T,usd,2.4
322,2BL27410,kyocera,KYOCERA SWITCH CONVEYING,usd,12.0
323,2BL27450,kyocera,KYOCERA SWITCH PI,usd,6.0
324,2BL27560,kyocera,KYOCERA MOTOR EJECT,usd,82.8
325,2BL60040,kyocera,KYOCERA GEAR 20 FEED SHIFT,usd,2.4
326,2BL60061,kyocera,KYOCERA GUIDE DU FEED SHIFT,usd,28.8
327,2BL60081,kyocera,KYOCERA LEVER CHANGE DU B,usd,1.2
328,2BL60130,kyocera,KYOCERA GEAR 13,usd,43.2
